,Date,Price
601,2016-08-24,254.4
602,2016-08-25,250.15
603,2016-08-26,246.6
604,2016-08-27,246.6
605,2016-08-28,246.6
606,2016-08-29,249.05
607,2016-08-30,252.25
608,2016-08-31,252.5
609,2016-09-01,252.0
610,2016-09-02,254.6
611,2016-09-03,254.6
612,2016-09-04,254.6
613,2016-09-05,254.6
614,2016-09-06,260.1
615,2016-09-07,266.8
616,2016-09-08,268.35
617,2016-09-09,264.1
618,2016-09-10,264.1
619,2016-09-11,264.1
620,2016-09-12,252.75
621,2016-09-13,252.75
622,2016-09-14,257.55
623,2016-09-15,256.0
624,2016-09-16,254.3
625,2016-09-17,254.3
626,2016-09-18,254.3
627,2016-09-19,255.65
628,2016-09-20,254.45
629,2016-09-21,251.15
630,2016-09-22,257.9
631,2016-09-23,254.55
632,2016-09-24,254.55
633,2016-09-25,254.55
634,2016-09-26,251.65
635,2016-09-27,249.0
636,2016-09-28,253.75
637,2016-09-29,247.25
638,2016-09-30,251.25
639,2016-10-01,251.25
640,2016-10-02,251.25
641,2016-10-03,255.3
642,2016-10-04,259.75
643,2016-10-05,260.85
644,2016-10-06,256.8
645,2016-10-07,258.7
646,2016-10-08,258.7
647,2016-10-09,258.7
648,2016-10-10,256.6
649,2016-10-11,256.6
650,2016-10-12,256.6
651,2016-10-13,249.65
652,2016-10-14,252.1
653,2016-10-15,252.1
654,2016-10-16,252.1
655,2016-10-17,253.2
656,2016-10-18,256.9
657,2016-10-19,255.4
658,2016-10-20,260.2
659,2016-10-21,258.5
660,2016-10-22,258.5
661,2016-10-23,258.5
662,2016-10-24,262.95
663,2016-10-25,261.45
664,2016-10-26,258.75
665,2016-10-27,255.4
666,2016-10-28,258.0
667,2016-10-29,258.0
668,2016-10-30,257.6
669,2016-10-31,257.6
670,2016-11-01,258.95
671,2016-11-02,251.05
672,2016-11-03,245.65
673,2016-11-04,242.85
674,2016-11-05,242.85
675,2016-11-06,242.85
676,2016-11-07,252.7
677,2016-11-08,252.65
678,2016-11-09,260.0
679,2016-11-10,281.3
680,2016-11-11,273.0
681,2016-11-12,273.0
682,2016-11-13,273.0
683,2016-11-14,273.0
684,2016-11-15,278.2
685,2016-11-16,277.2
686,2016-11-17,277.45
687,2016-11-18,275.8
688,2016-11-19,275.8
689,2016-11-20,275.8
690,2016-11-21,257.35
691,2016-11-22,257.35
692,2016-11-23,258.65
693,2016-11-24,261.75
694,2016-11-25,260.95
695,2016-11-26,260.95
696,2016-11-27,260.95
697,2016-11-28,253.55
698,2016-11-29,252.7
699,2016-11-30,258.35
700,2016-12-01,255.65
701,2016-12-02,254.1
702,2016-12-03,254.1
703,2016-12-04,254.1
704,2016-12-05,256.9
705,2016-12-06,259.1
706,2016-12-07,255.6
707,2016-12-08,259.9
708,2016-12-09,266.65
709,2016-12-10,266.65
710,2016-12-11,266.65
711,2016-12-12,263.65
712,2016-12-13,266.15
713,2016-12-14,262.9
714,2016-12-15,265.4
715,2016-12-16,264.75
716,2016-12-17,264.75
717,2016-12-18,264.75
718,2016-12-19,261.35
719,2016-12-20,254.55
720,2016-12-21,255.35
721,2016-12-22,249.8
722,2016-12-23,249.15
723,2016-12-24,249.15
724,2016-12-25,249.15
725,2016-12-26,244.2
726,2016-12-27,248.75
727,2016-12-28,247.75
728,2016-12-29,247.65
729,2016-12-30,250.2
730,2016-12-31,250.2
731,2017-01-01,250.2
732,2017-01-02,243.6
733,2017-01-03,244.9
734,2017-01-04,242.9
735,2017-01-05,245.35
736,2017-01-06,245.9
737,2017-01-07,245.9
738,2017-01-08,245.9
739,2017-01-09,247.05
740,2017-01-10,248.3
741,2017-01-11,252.15
742,2017-01-12,251.25
743,2017-01-13,250.9
744,2017-01-14,250.9
745,2017-01-15,250.9
746,2017-01-16,255.75
747,2017-01-17,256.0
748,2017-01-18,258.35
749,2017-01-19,258.4
750,2017-01-20,251.05
751,2017-01-21,251.05
752,2017-01-22,251.05
753,2017-01-23,254.15
754,2017-01-24,254.9
755,2017-01-25,259.2
756,2017-01-26,259.2
757,2017-01-27,266.45
758,2017-01-28,266.45
759,2017-01-29,266.45
760,2017-01-30,263.95
761,2017-01-31,260.35
762,2017-02-01,270.7
763,2017-02-02,273.3
764,2017-02-03,277.55
765,2017-02-04,277.55
766,2017-02-05,277.55
767,2017-02-06,277.05
768,2017-02-07,277.9
769,2017-02-08,277.2
770,2017-02-09,275.85
771,2017-02-10,276.35
772,2017-02-11,276.35
773,2017-02-12,276.35
774,2017-02-13,271.65
775,2017-02-14,270.2
776,2017-02-15,268.95
777,2017-02-16,270.5
778,2017-02-17,269.35
